Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
closeBrowser(),Chrome 125.0.0.0,,,13-06-2024 14:36:56,13-06-2024 14:36:58,1.453s,PASSED
,,,,,,,
Test Cases/BAMU/home,Chrome 125.0.0.0,,,13-06-2024 14:37:02,13-06-2024 14:37:04,1.626s,FAILED
"openBrowser("""")",Chrome 125.0.0.0,,,13-06-2024 14:37:02,13-06-2024 14:37:04,1.334s,PASSED
acceptAlert(),Chrome 125.0.0.0,,,13-06-2024 14:37:04,13-06-2024 14:37:04,0.267s,FAILED
,,,,,,,
Test Cases/BAMU/Naac,Chrome 125.0.0.0,,,13-06-2024 14:38:02,13-06-2024 14:38:24,21.705s,FAILED
"openBrowser("""")",Chrome 125.0.0.0,,,13-06-2024 14:38:02,13-06-2024 14:38:03,0.755s,PASSED
"navigateToUrl(""http://bamu.ac.in/"")",Chrome 125.0.0.0,,,13-06-2024 14:38:03,13-06-2024 14:38:13,10.258s,PASSED
"click(findTestObject(""Object Repository/Page_Dr. Babasaheb Ambedkar Marathwada Univ_b44521/a_IQAC (Cell)""))",Chrome 125.0.0.0,,,13-06-2024 14:38:13,13-06-2024 14:38:19,5.974s,PASSED
"click(findTestObject(""Object Repository/Page_Internal Quality Assurance Cell  Home/a_NAAC-2018""))",Chrome 125.0.0.0,,,13-06-2024 14:38:19,13-06-2024 14:38:20,0.934s,PASSED
"click(findTestObject(""Object Repository/Page_NAAC-2018/h2_NAAC""))",Chrome 125.0.0.0,,,13-06-2024 14:38:20,13-06-2024 14:38:21,0.527s,PASSED
"click(findTestObject(""Object Repository/Page_NAAC-2018/h1_NAAC (National Assessment and Accreditat_cef82c""))",Chrome 125.0.0.0,,,13-06-2024 14:38:21,13-06-2024 14:38:21,0.343s,PASSED
"click(findTestObject(""Object Repository/Page_NAAC-2018/ul_Home                                    _3cfd05""))",Chrome 125.0.0.0,,,13-06-2024 14:38:21,13-06-2024 14:38:21,0.321s,PASSED
"click(findTestObject(""Object Repository/Page_NAAC-2018/div_NAAC         Institutional Information _c50838""))",Chrome 125.0.0.0,,,13-06-2024 14:38:21,13-06-2024 14:38:22,0.319s,PASSED
"click(findTestObject(""Object Repository/Page_NAAC-2018/p_Certificate of Accreditation 2002""))",Chrome 125.0.0.0,,,13-06-2024 14:38:22,13-06-2024 14:38:22,0.278s,PASSED
"click(findTestObject(""Object Repository/Page_NAAC-2018/p_Certificate of Accreditation 2013""))",Chrome 125.0.0.0,,,13-06-2024 14:38:22,13-06-2024 14:38:22,0.270s,PASSED
"click(findTestObject(""Object Repository/Page_NAAC-2018/p_Certificate of Accreditation 2019""))",Chrome 125.0.0.0,,,13-06-2024 14:38:22,13-06-2024 14:38:23,0.278s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,13-06-2024 14:38:23,13-06-2024 14:38:24,1.415s,PASSED
acceptAlert(),Chrome 125.0.0.0,,,13-06-2024 14:38:24,13-06-2024 14:38:24,0.006s,FAILED
,,,,,,,
Test Cases/BAMU/Research,Chrome 125.0.0.0,,,13-06-2024 14:38:24,13-06-2024 14:38:37,13.138s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,13-06-2024 14:38:24,13-06-2024 14:38:25,0.942s,PASSED
"navigateToUrl(""http://bamu.ac.in/Research.aspx"")",Chrome 125.0.0.0,,,13-06-2024 14:38:25,13-06-2024 14:38:31,6.223s,PASSED
"click(findTestObject(""Object Repository/Page_Research  Dr. Babasaheb Ambedkar Marat_c7191c/a_About Research at BAMU""))",Chrome 125.0.0.0,,,13-06-2024 14:38:31,13-06-2024 14:38:32,1.094s,PASSED
"click(findTestObject(""Object Repository/Page_Research at BAMU/a_Prominent Areas of Research""))",Chrome 125.0.0.0,,,13-06-2024 14:38:32,13-06-2024 14:38:33,0.834s,PASSED
"click(findTestObject(""Object Repository/Page_Prominent Areas of Research/a_Research Policy and Objectives""))",Chrome 125.0.0.0,,,13-06-2024 14:38:33,13-06-2024 14:38:34,0.909s,PASSED
"click(findTestObject(""Object Repository/Page_Research Policy and Objectives/span_Research Policy and Objectives""))",Chrome 125.0.0.0,,,13-06-2024 14:38:34,13-06-2024 14:38:35,0.514s,PASSED
"click(findTestObject(""Object Repository/Page_Research Policy and Objectives/strong_For StudentsResearchers""))",Chrome 125.0.0.0,,,13-06-2024 14:38:35,13-06-2024 14:38:35,0.342s,PASSED
"click(findTestObject(""Object Repository/Page_Research Policy and Objectives/a_Excellence""))",Chrome 125.0.0.0,,,13-06-2024 14:38:35,13-06-2024 14:38:35,0.360s,PASSED
"click(findTestObject(""Object Repository/Page_Research Policy and Objectives/a_Research Excellence""))",Chrome 125.0.0.0,,,13-06-2024 14:38:35,13-06-2024 14:38:36,0.843s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,13-06-2024 14:38:36,13-06-2024 14:38:37,0.971s,PASSED
